#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-01-16 01:21:28"
#data_read_from_db	"2018-03-01 17:28:53"
#database_id	1472
#datapoints_in_db	128121
#database_reference_id	0
#integrated_value	0.026	6.3
#sample_label	"goldpaper0"
#sample_name	"Golden_glossy_paper"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-wjakob|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=17 poweron=8414 [h] last_change=951 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	26.8421	0
#intheta	26.8421
#inphi	0
#front_integral	0.0263
#incident_and_front_integral	26.8421	0	0.0263
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	127039
#format: theta	phi	[uA]
89.98829	44.44809	2.138e-06
89.97672	44.42085	7.117e-08
89.96565	44.39506	-4.574e-06
89.95352	44.36567	-2.548e-06
89.94144	44.33773	-1.101e-07
89.92883	44.30836	-1.778e-06
89.91714	44.27970	3.443e-06
89.90554	44.25320	-4.953e-06
89.89441	44.22742	2.826e-06
89.87914	44.19017	5.684e-07
89.86907	44.16869	3.795e-06
89.85736	44.14077	-1.826e-07
89.84521	44.11356	2.344e-06
89.83389	44.08420	-3.595e-06
89.81975	44.05414	5.425e-07
89.80959	44.03123	6.064e-06
89.79681	44.00117	3.480e-06
89.78512	43.97541	-2.166e-06
89.77278	43.94535	4.769e-06
89.76099	43.91744	3.867e-06
89.74770	43.88739	-1.334e-06
89.73590	43.86020	-2.684e-06
89.72363	43.83302	-1.229e-07
89.70969	43.79940	3.788e-06
89.69846	43.77509	2.703e-06
89.68714	43.74934	-1.127e-06
89.67322	43.71716	2.440e-06
89.66189	43.69142	-1.206e-06
89.64899	43.66210	2.395e-06
89.63764	43.63636	2.177e-06
89.62525	43.60849	8.979e-06
89.61282	43.57990	6.171e-07
89.59985	43.54987	4.729e-06
89.58640	43.51986	1.344e-06
89.57496	43.49342	2.739e-06
89.56045	43.46127	2.707e-06
89.54952	43.43626	5.236e-06
